City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tongchuan,35.0806,109.0897,9.52,26,0,3.95,CN,1701832175
1,paracuru,-3.41,-39.0306,28.39,82,28,5.94,BR,1701832175
2,blackmans bay,-43.0167,147.3167,21.4,36,6,1.36,AU,1701832175
3,ilulissat,69.2167,-51.1,-10.99,52,6,3.6,GL,1701832163
4,great falls,47.5002,-111.3008,14.67,51,20,7.72,US,1701832175
5,campechuela,20.2342,-77.2789,23.47,91,0,3.61,CU,1701832176
6,grytviken,-54.2811,-36.5092,2.36,84,100,7.99,GS,1701831965
7,ribeira grande,38.5167,-28.7,19.32,94,100,11.62,PT,1701832165
8,madridejos,39.4682,-3.532,5.78,70,98,1.83,ES,1701832176
9,kvissleby,62.2936,17.375,-19.09,98,100,1.53,SE,1701832176
10,wagar,16.1525,36.2032,23.91,64,5,3.95,SD,1701832176
11,adamstown,-25.066,-130.1015,22.77,83,100,6.35,PN,1701832138
12,port-aux-francais,-49.35,70.2167,6.57,96,100,11.78,TF,1701832177
13,albany,42.6001,-73.9662,0.37,88,100,1.3,US,1701831950
14,hawaiian paradise park,19.5933,-154.9731,24.94,83,20,1.54,US,1701832178
15,olutanga,7.3106,122.8464,27.93,76,100,2.52,PH,1701832178
16,nadym,65.5333,72.5167,-36.93,99,83,2.51,RU,1701832142
17,hermanus,-34.4187,19.2345,18.09,74,90,9.29,ZA,1701832178
18,el granada,37.5027,-122.4694,16.1,86,0,0.0,US,1701832178
19,qaqortoq,60.7167,-46.0333,0.51,65,100,2.19,GL,1701832179
20,ust'-ilimsk,58.0006,102.6619,-32.53,100,26,0.89,RU,1701832179
21,vorkuta,67.5,64.0,-30.25,95,22,1.36,RU,1701832179
22,constantia,44.1833,28.65,4.38,85,100,5.92,RO,1701832179
23,saldanha,-33.0117,17.9442,15.5,79,0,4.09,ZA,1701832179
24,bilibino,68.0546,166.4372,-30.66,99,100,1.88,RU,1701832179
25,quesnel,52.9999,-122.5029,-0.49,98,93,1.04,CA,1701832180
26,margaret river,-33.95,115.0667,22.48,48,3,5.54,AU,1701832180
27,yellowknife,62.456,-114.3525,-4.77,100,100,2.06,CA,1701831902
28,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,87,0,7.6,RU,1701832180
29,ghadamis,30.1337,9.5007,13.4,47,100,2.21,LY,1701832180
30,happy valley-goose bay,53.3168,-60.3315,-8.83,73,100,5.14,CA,1701832181
31,atafu village,-8.5421,-172.5159,29.17,73,100,3.23,TK,1701832061
32,ushuaia,-54.8,-68.3,0.79,97,49,3.04,AR,1701832137
33,stanley,54.868,-1.6985,-0.82,96,8,1.03,GB,1701832030
34,kone,-21.0595,164.8658,29.78,53,100,3.45,NC,1701832070
35,afaahiti,-17.75,-149.2833,24.93,84,100,5.44,PF,1701832181
36,punta arenas,-53.15,-70.9167,7.06,57,0,20.58,CL,1701831983
37,avarua,-21.2078,-159.775,27.03,74,75,6.69,CK,1701832182
38,pandan,14.0453,124.1694,28.67,80,84,4.86,PH,1701832182
39,bethel,41.3712,-73.414,3.2,70,100,0.0,US,1701832135
40,paita,-5.0892,-81.1144,20.96,81,100,5.79,PE,1701832182
41,oroqen zizhiqi,50.5667,123.7167,-13.08,65,100,3.9,CN,1701832182
42,waitangi,-43.9535,-176.5597,14.34,80,100,3.58,NZ,1701832125
43,hasaki,35.7333,140.8333,16.27,74,67,7.07,JP,1701832183
44,kharian,32.8149,73.8636,13.78,35,0,1.39,PK,1701832183
45,whitehorse,60.7161,-135.0538,-7.0,94,100,2.93,CA,1701832183
46,puerto natales,-51.7236,-72.4875,4.07,74,36,3.42,CL,1701832184
47,nabire,-3.3667,135.4833,30.65,62,12,2.52,ID,1701832184
48,belmonte,-15.8631,-38.8828,24.38,87,14,2.89,BR,1701832184
49,revda,56.801,59.9303,-19.58,96,100,2.59,RU,1701832184
50,nova sintra,14.8667,-24.7167,21.57,72,100,8.61,CV,1701832184
51,tiksi,71.6872,128.8694,-19.5,92,100,6.65,RU,1701832063
52,yuzhno-kurilsk,44.0306,145.8556,7.43,84,83,2.48,RU,1701832185
53,portland,45.5234,-122.6762,15.46,93,100,4.92,US,1701831760
54,monterey,36.2505,-121.2516,14.54,35,77,1.76,US,1701832058
55,longyearbyen,78.2186,15.6401,-4.09,68,20,9.26,SJ,1701832185
56,kavieng,-2.5744,150.7967,28.63,73,100,3.6,PG,1701832185
57,salalah,17.0151,54.0924,22.05,53,0,2.57,OM,1701832133
58,lethbridge,49.7,-112.8186,9.25,64,100,5.6,CA,1701832002
59,lihue,21.9789,-159.3672,28.58,88,100,8.23,US,1701831991
60,kenora,49.8167,-94.4337,-4.46,93,100,4.63,CA,1701832186
61,pyhajarvi,67.0701,27.2176,-21.05,100,87,0.99,FI,1701832186
62,zuni pueblo,35.0725,-108.8506,-0.65,63,0,1.87,US,1701832186
63,sinabang,2.4803,96.3801,27.16,81,100,2.95,ID,1701832078
64,brak,27.5496,14.2714,12.15,53,6,1.98,LY,1701831897
65,selfoss,63.9331,-20.9971,-3.3,74,28,4.98,IS,1701832187
66,yaren,-0.5472,166.916,28.12,79,97,5.67,NR,1701832187
67,robertsport,6.7533,-11.3686,27.17,78,2,2.42,LR,1701832187
68,nguigmi,14.2495,13.1092,21.46,24,89,5.34,NE,1701832177
69,iqaluit,63.7506,-68.5145,-14.61,84,67,1.34,CA,1701832187
70,edinburgh of the seven seas,-37.0676,-12.3116,13.46,68,94,10.32,SH,1701831977
71,college,64.8569,-147.8028,-17.74,81,100,1.54,US,1701832183
72,ar ruways,24.1103,52.7306,22.59,66,0,2.64,AE,1701832188
73,ulsteinvik,62.3432,5.8487,-0.69,63,100,1.79,NO,1701832188
74,matoury,4.8483,-52.3317,24.98,94,0,0.0,GF,1701832188
75,priargunsk,50.3691,119.1012,-15.54,92,100,3.91,RU,1701832188
76,thompson,55.7435,-97.8558,-5.82,94,100,3.63,CA,1701832189
77,bredasdorp,-34.5322,20.0403,16.68,81,70,6.49,ZA,1701832189
78,prado,-17.3411,-39.2208,24.75,88,0,3.68,BR,1701832189
79,codrington,-38.2667,141.9667,18.54,48,21,5.74,AU,1701832189
80,karratha,-20.7377,116.8463,36.46,30,3,5.57,AU,1701832189
81,dunedin,-45.8742,170.5036,14.33,81,90,2.68,NZ,1701832189
82,narvik,68.4384,17.4272,-4.33,91,100,3.71,NO,1701832190
83,hanceville,34.0607,-86.7675,10.86,57,2,5.24,US,1701832190
84,bamboo flat,11.7,92.7167,26.05,94,100,4.43,IN,1701832011
85,tongliao,43.6125,122.2653,-5.71,59,0,7.41,CN,1701832190
86,puerto ayora,-0.7393,-90.3518,24.75,94,53,0.89,EC,1701832190
87,polyarnyy,69.1989,33.4478,-10.09,81,100,5.3,RU,1701832012
88,capim grosso,-11.3811,-40.0128,21.83,84,66,3.63,BR,1701832191
89,tabou,4.423,-7.3528,25.92,84,12,2.81,CI,1701832191
90,yerofey pavlovich,53.9667,121.9667,-19.92,74,100,2.7,RU,1701831933
91,beykonak,36.3257,30.303,16.39,77,46,3.52,TR,1701832191
92,mar del plata,-38.0023,-57.5575,17.27,90,100,10.28,AR,1701832090
93,ola,59.5833,151.2833,-19.98,71,97,4.76,RU,1701832192
94,dryden,49.7833,-92.7503,-7.12,95,81,1.2,CA,1701832192
95,hami,42.8,93.45,2.54,37,11,1.44,CN,1701832192
96,silute,55.3489,21.4831,-8.46,94,48,4.25,LT,1701832192
97,pont rouge,48.8833,-72.0825,-14.89,95,36,2.15,CA,1701832192
98,georgetown,5.4112,100.3354,30.96,66,20,3.6,MY,1701832095
99,dolinsk,47.35,142.8,0.4,85,14,4.06,RU,1701832193
100,saint-joseph,-21.3667,55.6167,24.71,74,3,2.3,RE,1701832193
101,kulebaki,55.4133,42.5325,-21.23,100,99,1.2,RU,1701832193
102,alofi,-19.0595,-169.9187,28.94,70,75,6.17,NU,1701832007
103,kristiansund,63.1115,7.732,-2.64,68,100,2.06,NO,1701832194
104,simi valley,34.2695,-118.7815,22.74,39,0,1.93,US,1701831997
105,arraial do cabo,-22.9661,-42.0278,23.91,94,51,6.16,BR,1701832194
106,andapa,-14.65,49.65,20.77,87,31,0.59,MG,1701832194
107,aasiaat,68.7098,-52.8699,-18.62,92,26,4.54,GL,1701832194
108,greenville,35.6127,-77.3663,6.18,94,0,0.0,US,1701832191
109,hithadhoo,-0.6,73.0833,27.56,80,95,4.76,MV,1701832194
110,west island,-12.1568,96.8225,27.99,83,75,5.66,CC,1701832195
111,barre,44.197,-72.5021,-3.03,84,100,1.54,US,1701831923
112,st. john's,47.5649,-52.7093,-0.57,93,100,0.89,CA,1701832087
113,athy,52.9914,-6.9803,5.77,95,100,3.81,IE,1701832195
114,mwinilunga,-11.7358,24.4293,15.72,99,60,1.52,ZM,1701832195
115,takoradi,4.8845,-1.7554,26.21,81,0,2.7,GH,1701832142
116,invercargill,-46.4,168.35,18.07,51,76,0.43,NZ,1701832195
117,ulladulla,-35.35,150.4667,21.81,64,28,4.29,AU,1701832196
118,vorgashor,67.5833,63.95,-30.21,95,22,1.26,RU,1701832196
119,salekhard,66.53,66.6019,-36.54,100,69,0.29,RU,1701832196
120,usogorsk,63.4106,48.6872,-26.3,99,29,1.27,RU,1701832196
121,arkhangel'sk,64.5401,40.5433,-20.49,76,40,3.0,RU,1701832042
122,uturoa,-16.7333,-151.4333,24.13,84,100,3.11,PF,1701832196
123,port elizabeth,-33.918,25.5701,17.4,76,86,3.13,ZA,1701832197
124,utrik,11.2278,169.8474,27.79,75,78,8.66,MH,1701832197
125,armasesti,44.75,26.5833,4.2,90,100,2.75,RO,1701832197
126,hadibu,12.65,54.0333,24.79,61,56,7.07,YE,1701832197
127,papatowai,-46.5619,169.4708,17.78,57,99,3.49,NZ,1701831965
128,rosetta,31.4044,30.4164,18.48,71,9,4.54,EG,1701832197
129,labytnangi,66.6572,66.4183,-33.69,99,70,0.18,RU,1701832197
130,anadyr,64.75,177.4833,-19.72,83,100,7.0,RU,1701832198
131,miles city,46.4083,-105.8406,8.54,57,0,4.63,US,1701832021
132,port alfred,-33.5906,26.891,17.88,80,99,0.89,ZA,1701832198
133,novaya igirma,57.1334,103.9112,-29.78,96,24,1.06,RU,1701832196
134,taulaga,-11.0553,-171.0883,28.43,78,91,4.96,AS,1701832198
135,hiratacho,35.4333,132.8167,15.36,58,17,6.04,JP,1701832198
136,olonkinbyen,70.9221,-8.7187,-2.64,78,97,6.79,SJ,1701832198
137,bonthe,7.5264,-12.505,26.05,86,1,2.34,SL,1701832199
138,jamestown,42.097,-79.2353,0.77,99,100,2.06,US,1701831932
139,la ronge,55.1001,-105.2842,-2.7,87,100,2.57,CA,1701832199
140,vilyuysk,63.7553,121.6247,-41.97,99,98,2.66,RU,1701832070
141,ceeldheer,3.8488,47.1806,24.76,71,93,5.2,SO,1701832199
142,badger,64.8,-147.5333,-17.79,83,100,1.54,US,1701832038
143,la passe,45.5549,-0.8967,1.13,79,100,2.38,FR,1701832199
144,nemuro,43.3236,145.575,8.03,83,76,2.26,JP,1701832199
145,prieska,-29.6641,22.7474,16.55,62,0,6.23,ZA,1701832200
146,nykarleby,63.5228,22.5307,-7.92,99,84,1.81,FI,1701832200
147,ancud,-41.8697,-73.8203,10.15,91,0,0.86,CL,1701832200
148,hythe,50.86,-1.4016,4.3,98,30,2.09,GB,1701832200
149,kayenta,36.7278,-110.2546,5.92,58,0,0.76,US,1701832201
150,nuriootpa,-34.4833,139.0,33.69,19,62,1.22,AU,1701832201
151,kingston,17.997,-76.7936,26.53,84,20,2.06,JM,1701832046
152,talnakh,69.4865,88.3972,-32.51,78,7,0.79,RU,1701832201
153,broken hill,-31.95,141.4333,35.79,16,13,0.6,AU,1701832201
154,trincomalee,8.5711,81.2335,27.36,76,65,4.87,LK,1701832202
155,enewetak,11.3474,162.3373,28.08,72,88,7.98,MH,1701832202
156,lebu,-37.6167,-73.65,12.37,87,85,4.8,CL,1701831978
157,keflavik,64.0049,-22.5624,1.24,69,0,8.23,IS,1701832203
158,nishinoomote,30.7333,131.0,16.58,64,93,5.65,JP,1701832203
159,abdulino,53.7,53.6667,-15.41,97,98,4.42,RU,1701832204
160,saint-philippe,-21.3585,55.7679,23.95,76,6,2.19,RE,1701832205
161,cidreira,-30.1811,-50.2056,21.36,91,64,8.65,BR,1701832188
162,balakhta,55.38,91.6,-11.21,96,100,2.37,RU,1701832205
163,canutama,-6.5339,-64.3831,23.73,92,98,0.63,BR,1701832206
164,wailua homesteads,22.0669,-159.378,28.24,89,100,8.23,US,1701832206
165,sao miguel,-5.4667,-35.3667,26.43,78,5,7.35,BR,1701832206
166,glendive,47.1053,-104.7125,7.64,65,0,4.63,US,1701832207
167,sitka,57.0531,-135.33,6.94,76,100,6.17,US,1701832139
168,porto recanati,43.4365,13.6613,5.96,88,48,6.02,IT,1701832207
169,kapuskasing,49.4169,-82.4331,-14.79,98,35,0.49,CA,1701832207
170,chonchi,-42.6128,-73.8092,12.56,90,2,2.14,CL,1701832125
171,bereznik,62.8551,42.7072,-22.56,99,98,0.91,RU,1701832208
172,sinop,41.7711,34.8709,6.69,80,3,1.55,TR,1701832208
173,ar rutbah,33.0381,40.2848,16.67,48,100,4.19,IQ,1701832208
174,kismayo,-0.3582,42.5454,27.03,77,65,5.2,SO,1701832209
175,carloforte,39.145,8.3058,14.42,58,87,8.29,IT,1701832044
176,saint-denis,48.9167,2.3333,6.27,91,100,4.12,FR,1701832209
177,ermelo,-26.5333,29.9833,13.44,94,100,3.9,ZA,1701832209
178,saint-pierre,-21.3393,55.4781,25.32,73,0,2.57,RE,1701832210
179,konarka,19.9,86.1167,23.22,79,100,7.7,IN,1701832210
180,lazaro cardenas,17.9583,-102.2,26.63,67,100,1.54,MX,1701832210
181,kodiak,57.79,-152.4072,-1.27,59,20,20.06,US,1701832160
182,jijiga,9.35,42.8,12.25,49,56,2.72,ET,1701832211
183,yanchep,-31.55,115.6833,32.23,41,0,5.58,AU,1701832211
184,'ain el hadjar,34.7585,0.1453,11.21,47,100,1.79,DZ,1701832211
185,tura,25.5198,90.2201,22.6,55,83,0.65,IN,1701832211
186,bilovods'k,49.2085,39.5897,-2.21,72,100,2.85,UA,1701832212
187,kailua-kona,19.6406,-155.9956,23.88,96,8,0.45,US,1701832212
188,taslicay,39.6336,43.375,2.95,82,99,1.36,TR,1701832212
189,osa,57.2829,55.4567,-17.36,97,99,2.07,RU,1701832213
190,ji'an,27.1172,114.9793,17.6,49,90,2.23,CN,1701832213
191,limon,10.0,-83.0333,25.03,81,2,1.35,CR,1701832213
192,borogontsy,62.6683,131.1683,-43.3,98,65,1.52,RU,1701832213
193,greymouth,-42.4667,171.2,15.33,66,95,3.08,NZ,1701832213
194,constitucion,-35.3333,-72.4167,11.12,92,1,1.83,CL,1701832213
195,vila franca do campo,37.7167,-25.4333,19.23,99,99,8.78,PT,1701832214
196,miri,4.4148,114.0089,28.79,74,98,2.34,MY,1701832214
197,lucapa,-8.4192,20.7447,18.09,99,100,0.62,AO,1701832214
198,boa vista,2.8197,-60.6733,27.99,65,0,3.6,BR,1701832214
199,quellon,-43.1167,-73.6167,9.2,91,3,3.91,CL,1701832188
200,lompoc,34.6391,-120.4579,17.08,82,0,1.54,US,1701832215
201,douglas,41.3,-96.167,1.84,69,0,2.06,US,1701832215
202,taoudenni,22.6783,-3.9836,18.95,12,75,2.65,ML,1701832215
203,severo-yeniseyskiy,60.3725,93.0408,-38.57,100,67,1.79,RU,1701832216
204,wanning,18.8003,110.3967,24.51,82,100,3.09,CN,1701832159
205,sorong,-0.8833,131.25,28.95,73,41,2.49,ID,1701832216
206,dudinka,69.4058,86.1778,-36.29,98,21,2.24,RU,1701832145
207,lata,40.1629,-8.3327,4.95,90,63,1.35,PT,1701832217
208,pula,44.8683,13.8481,7.31,76,100,2.57,HR,1701832217
209,chui,-33.6971,-53.4616,18.29,95,100,4.72,UY,1701831944
210,muynoq,43.7683,59.0214,3.76,70,41,7.3,UZ,1701832217
211,puerto baquerizo moreno,-0.9,-89.6,23.89,82,41,4.18,EC,1701832195
212,manokwari,-0.8667,134.0833,27.81,78,83,1.4,ID,1701832218
213,kodinsk,58.6881,99.1844,-29.76,96,18,2.27,RU,1701832218
214,beidaihehaibin,39.8222,119.5181,3.94,23,0,8.41,CN,1701832218
215,gadzhiyevo,69.2551,33.3362,-10.51,83,100,5.1,RU,1701832218
216,sur,22.5667,59.5289,23.44,44,0,3.6,OM,1701832218
217,buka,40.8108,69.1986,9.49,34,6,0.08,UZ,1701832219
218,inhambane,-23.865,35.3833,24.14,66,96,4.52,MZ,1701832219
219,swakopmund,-22.6833,14.5333,16.1,88,55,0.89,NA,1701832220
220,bantogon,6.5333,124.0333,27.76,80,100,2.84,PH,1701832220
221,kununurra,-15.7667,128.7333,35.99,52,14,3.6,AU,1701832196
222,ceres,37.5949,-120.9577,14.89,85,0,0.0,US,1701832220
223,turabah,21.2141,41.6331,14.74,34,4,4.0,SA,1701832221
224,mejit,10.2753,170.8646,27.77,78,14,9.08,MH,1701832221
225,santana,-0.0583,-51.1817,26.1,94,100,2.06,BR,1701832221
226,berdyaush,55.1619,59.1464,-17.09,94,100,4.55,RU,1701832221
227,posto fiscal rolim de moura,-13.0833,-62.2667,22.49,97,87,0.95,BR,1701832222
228,ambalangoda,6.2355,80.0538,27.19,81,65,2.47,LK,1701832222
229,seydi,39.4816,62.9137,9.16,42,53,3.88,TM,1701832222
230,tutoia,-2.7619,-42.2744,26.92,85,13,5.87,BR,1701832223
231,aykhal,66.0,111.5,-27.97,98,100,3.13,RU,1701832180
232,novokayakent,42.3937,47.9861,7.88,84,100,4.55,RU,1701832224
233,surgut,61.25,73.4167,-35.9,68,0,4.0,RU,1701832224
234,port mathurin,-19.6833,63.4167,25.87,80,44,5.1,MU,1701832224
235,akureyri,65.6835,-18.0878,-9.23,87,10,2.39,IS,1701832131
236,magadan,59.5667,150.8,-19.16,67,97,4.43,RU,1701832224
237,imperatriz,-5.5264,-47.4917,24.54,81,45,1.74,BR,1701832189
238,tynda,55.1667,124.7167,-23.99,95,100,4.05,RU,1701832225
239,coruripe,-10.1256,-36.1756,24.97,74,4,4.69,BR,1701832138
240,cremona,45.2333,9.9333,1.9,95,6,2.62,IT,1701832225
241,touros,-5.1989,-35.4608,26.34,78,5,7.24,BR,1701832226
242,fale old settlement,-9.3852,-171.2468,28.99,74,100,2.98,TK,1701832226
243,lorengau,-2.0226,147.2712,29.02,76,98,3.1,PG,1701832226
244,abu jibeha,11.4562,31.2285,23.29,22,8,3.23,SD,1701832226
245,tahe,52.3333,124.7333,-13.71,73,99,4.2,CN,1701832154
246,valparaiso,-33.0393,-71.6273,11.8,82,0,1.54,CL,1701832218
247,bataipora,-22.2953,-53.2711,22.84,89,96,0.41,BR,1701832227
248,san patricio,28.017,-97.5169,18.92,71,100,2.91,US,1701832227
249,mahavelona,-17.6848,49.5087,22.99,84,65,1.8,MG,1701832227
250,alpinopolis,-20.8636,-46.3881,19.93,92,100,1.02,BR,1701832227
251,sisimiut,66.9395,-53.6735,-10.81,73,28,5.68,GL,1701832227
252,tarfaya,27.9358,-12.9218,19.68,84,100,2.34,MA,1701832227
253,port lincoln,-34.7333,135.8667,21.49,60,95,3.84,AU,1701832228
254,vilyuchinsk,52.9306,158.4028,-2.85,70,23,3.57,RU,1701832228
255,udachny,66.4167,112.4,-26.34,97,100,3.19,RU,1701831977
256,egilsstadir,65.2653,-14.3948,-8.54,96,61,1.48,IS,1701832228
257,sergeyevka,53.88,67.4158,-14.08,94,100,4.94,KZ,1701832228
258,riosucio,5.4216,-75.7032,15.0,97,29,0.8,CO,1701832229
259,ratnagiri,16.9833,73.3,25.73,62,99,2.46,IN,1701832230
260,buin,-33.7333,-70.75,18.19,63,0,0.72,CL,1701832230
261,ambon,-3.6954,128.1814,32.08,70,40,3.09,ID,1701832230
262,castillos,-34.1667,-53.8333,17.52,97,100,4.11,UY,1701832230
263,bubaque,11.2833,-15.8333,28.07,66,0,3.43,GW,1701832230
264,aoulef,26.9667,1.0833,16.6,22,96,2.29,DZ,1701832231
265,marabba,12.35,32.1833,24.74,23,11,4.73,SD,1701832231
266,kudahuvadhoo,2.6708,72.8944,27.49,80,100,4.35,MV,1701832231
267,rio grande,-32.035,-52.0986,21.08,87,100,9.57,BR,1701832213
268,yigo village,13.5361,144.8886,30.62,74,20,5.66,GU,1701832231
269,tindouf,27.6711,-8.1474,18.07,39,100,4.62,DZ,1701832232
270,lerwick,60.1545,-1.1494,-3.0,68,17,2.22,GB,1701832232
271,east london,-33.0153,27.9116,18.46,73,100,5.79,ZA,1701832232
272,cabo san lucas,22.8909,-109.9124,24.31,72,40,2.06,MX,1701832109
273,banjarmasin,-3.3244,114.591,31.08,60,73,0.88,ID,1701832232
274,amahai,-3.3333,128.9167,30.41,67,42,2.84,ID,1701832184
275,hamilton,39.1834,-84.5333,4.99,92,100,4.12,US,1701832054
276,acapulco de juarez,16.8634,-99.8901,26.9,89,20,1.54,MX,1701832216
277,nikolayevsk-on-amure,53.1406,140.73,-4.48,73,100,0.98,RU,1701832233
278,sumbawa besar,-8.5,117.4333,32.88,56,9,2.39,ID,1701832233
279,nueva gerona,21.8833,-82.8,25.56,78,98,6.5,CU,1701832233
280,laguna,38.421,-121.4238,14.62,83,0,0.0,US,1701832233
281,xai-xai,-25.0519,33.6442,23.53,79,100,3.27,MZ,1701832234
282,queenstown,-31.8976,26.8753,12.44,90,100,4.38,ZA,1701831669
283,san juan,-31.5375,-68.5364,19.55,67,0,8.98,AR,1701831937
284,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-3.02,84,100,7.95,RU,1701832232
285,murehwa,-17.6432,31.784,18.49,48,46,1.32,ZW,1701832234
286,bathsheba,13.2167,-59.5167,27.34,78,20,9.26,BB,1701832234
287,zhangye,38.9342,100.4517,6.5,14,0,3.12,CN,1701832175
